Univ_name,Applicants_total,Admissions_total,State_name,Acceptance_Rate,Controlofinstitution
Abilene Christian University,10188,4986,Texas,49,Private
Adams State University,2658,1398,Colorado,53,Public
Adelphi University,8654,5897,New York,68,Private
Adrian College,4675,2631,Michigan,56,Private
Agnes Scott College,1340,896,Georgia,67,Private
Alabama A & M University,6142,5521,Alabama,90,Public
Alabama State University,10245,5251,Alabama,51,Public
Alaska Pacific University,494,185,Alaska,37,Private
Albany State University,8250,1643,Georgia,20,Public
Albertus Magnus College,689,470,Connecticut,68,Private
Albion College,4430,2498,Michigan,56,Private
Albright College,6060,3776,Pennsylvania,62,Private
Alcorn State University,2265,1878,Mississippi,83,Public
Alderson Broaddus University,4892,2114,West Virginia,43,Private
Alfred University,3417,2385,New York,70,Private
Alice Lloyd College,3656,1646,Kentucky,45,Private
Allegheny College,4512,2927,Pennsylvania,65,Private
Allen University,,,South Carolina,77,Private
Alliant International University,128,63,California,49,Private
Alma College,2699,1833,Michigan,68,Private
Alvernia University,1792,1391,Pennsylvania,78,Private
Alverno College,582,459,Wisconsin,79,Private
American Indian College of the Assemblies of God Inc,,,Arizona,38,Private
American International College,1928,1307,Massachusetts,68,Private
American Jewish University,100,59,California,59,Private
American University,17545,7566,District of Columbia,43,Private
Amherst College,7927,1132,Massachusetts,14,Private
Amridge University,,,Alabama,71,Private
Anderson University,2734,1516,Indiana,55,Private
Anderson University,2190,1424,South Carolina,65,Private
Andrews University,2551,957,Michigan,38,Private
Angelo State University,2599,2092,Texas,80,Public
Anna Maria College,2081,1614,Massachusetts,78,Private
Antioch University-Seattle,42,33,Washington,79,Private
Appalachian State University,12248,7744,North Carolina,63,Public
Aquinas College,2789,1990,Michigan,71,Private
Aquinas College,119,62,Tennessee,52,Private
Arcadia University,9608,5735,Pennsylvania,60,Private
Arizona Christian University,344,209,Arizona,61,Private
Arizona State University-Tempe,21770,17465,Arizona,80,Public
Arkansas Baptist College,,,Arkansas,55,Private
Arkansas State University-Main Campus,4838,3653,Arkansas,76,Public
Arkansas Tech University,3847,3271,Arkansas,85,Public
Armstrong Atlantic State University,3118,2182,Georgia,70,Public
Asbury University,1211,796,Kentucky,66,Private
Ashland University,2931,2180,Ohio,74,Private
Assumption College,4659,3458,Massachusetts,74,Private
Auburn University,15745,13027,Alabama,83,Public
Auburn University at Montgomery,1958,1639,Alabama,84,Public
Augsburg College,2072,1261,Minnesota,61,Private
Augustana College,5831,3421,Illinois,59,Private
Augustana College,1147,781,South Dakota,68,Private
Aurora University,2536,1926,Illinois,76,Private
Austin College,3141,1841,Texas,59,Private
Austin Peay State University,3332,2864,Tennessee,86,Public
Ave Maria University,1611,960,Florida,60,Private
Averett University,2356,1491,Virginia,63,Private
Avila University,1629,995,Missouri,61,Private
Azusa Pacific University,5329,4255,California,80,Private
Bacone College,2445,1756,Oklahoma,72,Private
Baker College Center for Graduate Studies,,,Michigan,100,Private
Baker College of Allen Park,,,Michigan,100,Private
Baker College of Auburn Hills,,,Michigan,100,Private
Baker College of Cadillac,,,Michigan,100,Private
Baker College of Clinton Township,,,Michigan,100,Private
Baker College of Flint,,,Michigan,100,Private
Baker College of Jackson,,,Michigan,100,Private
Baker College of Muskegon,,,Michigan,100,Private
Baker College of Owosso,,,Michigan,100,Private
Baker College of Port Huron,,,Michigan,100,Private
Baker University,870,756,Kansas,87,Private
Baldwin Wallace University,4220,2699,Ohio,64,Private
Ball State University,17118,10364,Indiana,61,Public
Bard College,5466,2056,New York,38,Private
Bard College at Simon's Rock,218,201,Massachusetts,92,Private
Barnard College,5606,1151,New York,21,Private
Barry University,7845,3670,Florida,47,Private
Barton College,2933,1225,North Carolina,42,Private
Bates College,5243,1267,Maine,24,Private
Bay Path College,908,523,Massachusetts,58,Private
Baylor University,29249,16809,Texas,57,Private
Beacon College,139,90,Florida,65,Private
Becker College,3936,2462,Massachusetts,63,Private
Belhaven University,2280,1104,Mississippi,48,Private
Bellarmine University,4160,3943,Kentucky,95,Private
Bellevue University,,,Nebraska,100,Private
Belmont Abbey College,2197,1485,North Carolina,68,Private
Belmont University,5111,4082,Tennessee,80,Private
Beloit College,2253,1525,Wisconsin,68,Private
Bemidji State University,3606,2408,Minnesota,67,Public
Benedict College,,,South Carolina,77,Private
Benedictine College,3515,2129,Kansas,61,Private
Benedictine University,2108,1465,Illinois,69,Private
Bennett College,1639,1354,North Carolina,83,Private
Bennington College,1130,733,Vermont,65,Private
Bentley University,7493,3281,Massachusetts,44,Private
Berea College,1620,551,Kentucky,34,Private
Berry College,3901,2353,Georgia,60,Private
Bethany College,1139,670,Kansas,59,Private
Bethany College,1736,859,West Virginia,49,Private
Bethany Lutheran College,531,396,Minnesota,75,Private
Bethel College-Indiana,1242,889,Indiana,72,Private
Bethel College-North Newton,854,550,Kansas,64,Private
Bethel University,2118,2009,Minnesota,95,Private
Bethel University,2669,1362,Tennessee,51,Private
Bethune-Cookman University,7429,4948,Florida,67,Private
Biola University,4816,3509,California,73,Private
Birmingham Southern College,1931,1240,Alabama,64,Private
Black Hills State University,957,854,South Dakota,89,Public
Blackburn College,528,359,Illinois,68,Private
Bloomfield College,3115,1702,New Jersey,55,Private
Bloomsburg University of Pennsylvania,9248,8190,Pennsylvania,89,Public
Blue Mountain College,585,326,Mississippi,56,Private
Bluefield College,1042,597,Virginia,57,Private
Bluefield State College,1125,480,West Virginia,43,Public
Bluffton University,1784,947,Ohio,53,Private
Boise State University,7832,6082,Idaho,78,Public
Boricua College,,,New York,100,Private
Boston College,24538,7905,Massachusetts,32,Private
Boston University,44006,20071,Massachusetts,46,Private
Bowdoin College,7052,1054,Maine,15,Private
Bowie State University,3986,2063,Maryland,52,Public
Bowling Green State University-Main Campus,15689,11370,Ohio,72,Public
Bradley University,8969,6004,Illinois,67,Private
Brandeis University,9496,3517,Massachusetts,37,Private
Brenau University,2160,1691,Georgia,78,Private
Brescia University,3582,1612,Kentucky,45,Private
Brevard College,2299,1032,North Carolina,45,Private
Brewton-Parker College,475,244,Georgia,51,Private
Briar Cliff University,,,Iowa,58,Private
Bridgewater College,5401,2967,Virginia,55,Private
Bridgewater State University,5920,4653,Massachusetts,79,Public
Brigham Young University-Hawaii,2664,960,Hawaii,36,Private
Brigham Young University-Idaho,6690,6665,Idaho,100,Private
Brigham Young University-Provo,11423,5645,Utah,49,Private
Brown University,28919,2654,Rhode Island,9,Private
Bryan College-Dayton,1151,433,Tennessee,38,Private
Bryant University,6013,4603,Rhode Island,77,Private
Bryn Athyn College of the New Church,396,205,Pennsylvania,52,Private
Bryn Mawr College,2708,1081,Pennsylvania,40,Private
Bucknell University,7947,2345,Pennsylvania,30,Private
Buena Vista University,1409,980,Iowa,70,Private
Buffalo State SUNY,11256,5463,New York,49,Public
Burlington College,199,165,Vermont,83,Private
Butler University,9357,6185,Indiana,66,Private
Cabrini College,2127,1580,Pennsylvania,74,Private
Cairn University-Langhorne,610,313,Pennsylvania,51,Private
Caldwell College,2984,1912,New Jersey,64,Private
California Baptist University,3853,3036,California,79,Private
California Institute of Technology,5535,584,California,11,Private
California Lutheran University,6920,3323,California,48,Private
California Maritime Academy,893,668,California,75,Public
California Polytechnic State University-San Luis Obispo,36941,11537,California,31,Public
California State Polytechnic University-Pomona,28143,14686,California,52,Public
California State University-Bakersfield,6630,4393,California,66,Public
California State University-Channel Islands,6960,4484,California,64,Public
California State University-Chico,17215,12327,California,72,Public
California State University-Dominguez Hills,14742,8472,California,57,Public
California State University-East Bay,12741,8756,California,69,Public
California State University-Fresno,16242,9444,California,58,Public
California State University-Fullerton,38909,17817,California,46,Public
California State University-Long Beach,55019,16956,California,31,Public
California State University-Los Angeles,27321,18448,California,68,Public
California State University-Monterey Bay,12562,5577,California,44,Public
California State University-Northridge,29339,13566,California,46,Public
California State University-Sacramento,19702,13728,California,70,Public
California State University-San Bernardino,12239,7137,California,58,Public
California State University-San Marcos,10208,6381,California,63,Public
California State University-Stanislaus,5763,4158,California,72,Public
California University of Pennsylvania,3022,2801,Pennsylvania,93,Public
Calumet College of Saint Joseph,545,218,Indiana,40,Private
Calvin College,4003,2792,Michigan,70,Private
Cambridge College,,,Massachusetts,100,Private
Cameron University,,,Oklahoma,100,Public
Campbell University,11714,8180,North Carolina,70,Private
Campbellsville University,2649,1813,Kentucky,68,Private
Canisius College,4322,3134,New York,73,Private
Capital University,3640,2768,Ohio,76,Private
Cardinal Stritch University,577,486,Wisconsin,84,Private
Carleton College,7045,1476,Minnesota,21,Private
Carlos Albizu University-Miami,58,21,Florida,36,Private
Carlow University,669,637,Pennsylvania,95,Private
Carnegie Mellon University,18884,4813,Pennsylvania,25,Private
Carroll College,3279,1738,Montana,53,Private
Carroll University,2868,2327,Wisconsin,81,Private
Carson-Newman University,3916,2607,Tennessee,67,Private
Carthage College,7174,5035,Wisconsin,70,Private
Case Western Reserve University,18418,7713,Ohio,42,Private
Castleton State College,2251,2072,Vermont,92,Public
Catawba College,3226,1309,North Carolina,41,Private
Catholic University of America,6298,3783,District of Columbia,60,Private
Cazenovia College,2440,1902,New York,78,Private
Cedar Crest College,1063,625,Pennsylvania,59,Private
Cedarville University,3267,2418,Ohio,74,Private
Centenary College,1038,944,New Jersey,91,Private
Centenary College of Louisiana,670,442,Louisiana,66,Private
Central Baptist College,540,292,Arkansas,54,Private
Central Christian College of Kansas,662,334,Kansas,50,Private
Central College,2842,1870,Iowa,66,Private
Central Connecticut State University,5551,3560,Connecticut,64,Public
Central Methodist University-College of Liberal Arts and Sciences,1285,836,Missouri,65,Private
Central Michigan University,19262,12143,Michigan,63,Public
Central State University,7142,2377,Ohio,33,Public
Central Washington University,4507,3703,Washington,82,Public
Centre College,2533,1737,Kentucky,69,Private
Chadron State College,,,Nebraska,99,Public
Chaminade University of Honolulu,914,764,Hawaii,84,Private
Champlain College,5047,3573,Vermont,71,Private
Chapman University,11750,5253,California,45,Private
Charleston Southern University,3640,2507,South Carolina,69,Private
Chatham University,594,361,Pennsylvania,61,Private
Chestnut Hill College,1829,1058,Pennsylvania,58,Private
Cheyney University of Pennsylvania,,,Pennsylvania,87,Public
Chicago State University,5219,1495,Illinois,29,Public
Chowan University,3708,2282,North Carolina,62,Private
Christian Brothers University,1943,922,Tennessee,47,Private
Christopher Newport University,7016,4141,Virginia,59,Public
Citadel Military College of South Carolina,2557,2056,South Carolina,80,Public
City College-Fort Lauderdale,,,Florida,100,Private
City College-Gainesville,,,Florida,92,Private
City College-Miami,,,Florida,100,Private
City University of Seattle,,,Washington,100,Private
Claflin University,4354,2290,South Carolina,53,Private
Claremont McKenna College,5518,647,California,12,Private
Clarion University of Pennsylvania,2071,1936,Pennsylvania,93,Public
Clark Atlanta University,5873,3336,Georgia,57,Private
Clark University,5551,3416,Massachusetts,62,Private
Clarke University,1250,969,Iowa,78,Private
Clarkson University,6747,4320,New York,64,Private
Clayton  State University,2046,976,Georgia,48,Public
Clearwater Christian College,468,328,Florida,70,Private
Clemson University,18500,10706,South Carolina,58,Public
Cleveland State University,6768,4255,Ohio,63,Public
Coastal Carolina University,10993,8139,South Carolina,74,Public
Coe College,2972,1834,Iowa,62,Private
Coker College,1273,678,South Carolina,53,Private
Colby College,5407,1408,Maine,26,Private
Colby-Sawyer College,3400,2826,New Hampshire,83,Private
Coleman University,82,82,California,100,Private
Colgate University,8374,2209,New York,26,Private
College America-Colorado Springs,,,Colorado,78,Private
College America-Denver,,,Colorado,88,Private
College of Charleston,11509,8092,South Carolina,70,Public
College of Mount Saint Vincent,2416,1766,New York,73,Private
College of Mount St Joseph,1197,1048,Ohio,88,Private
College of Our Lady of the Elms,993,744,Massachusetts,75,Private
College of Saint Benedict,2077,1569,Minnesota,76,Private
College of Saint Elizabeth,2496,1207,New Jersey,48,Private
College of Saint Mary,335,191,Nebraska,57,Private
College of St Joseph,183,125,Vermont,68,Private
College of Staten Island CUNY,9785,9761,New York,100,Public
College of the Atlantic,452,333,Maine,74,Private
College of the Holy Cross,7115,2346,Massachusetts,33,Private
College of the Ozarks,3006,391,Missouri,13,Private
College of William and Mary,14046,4665,Virginia,33,Public
Colorado Christian University,1186,1158,Colorado,98,Private
Colorado College,5780,1288,Colorado,22,Private
Colorado Mesa University,6459,5304,Colorado,82,Public
Colorado School of Mines,11682,4373,Colorado,37,Public
Colorado State University-Fort Collins,17970,13914,Colorado,77,Public
Colorado State University-Pueblo,3147,2969,Colorado,94,Public
Columbia College,,,Missouri,79,Private
Columbia College,457,297,South Carolina,65,Private
Columbia College-Chicago,8005,7247,Illinois,91,Private
Columbia International University,302,189,South Carolina,63,Private
Columbia University in the City of New York,31851,2362,New York,7,Private
Columbus State University,3170,1757,Georgia,55,Public
Concord University,2698,1233,West Virginia,46,Public
Concordia College Alabama,,,Alabama,100,Private
Concordia College at Moorhead,2493,1994,Minnesota,80,Private
Concordia College-New York,1358,910,New York,67,Private
Concordia University-Ann Arbor,1150,618,Michigan,54,Private
Concordia University-Chicago,3692,2009,Illinois,54,Private
Concordia University-Irvine,2055,1874,California,91,Private
Concordia University-Nebraska,1299,929,Nebraska,72,Private
Concordia University-Portland,1790,1001,Oregon,56,Private
Concordia University-Saint Paul,1359,712,Minnesota,52,Private
Concordia University-Texas,1680,787,Texas,47,Private
Concordia University-Wisconsin,2510,1755,Wisconsin,70,Private
Connecticut College,4837,1734,Connecticut,36,Private
Converse College,1565,814,South Carolina,52,Private
Cooper Union for the Advancement of Science and Art,3193,247,New York,8,Private
Coppin State University,5980,2123,Maryland,36,Public
Corban University,2896,934,Oregon,32,Private
Cornell College,2204,1413,Iowa,64,Private
Cornell University,39999,6222,New York,16,Private
Cornerstone University,2349,1599,Michigan,68,Private
Covenant College,1129,644,Georgia,57,Private
Creighton University,5336,4090,Nebraska,77,Private
Crown College,1049,577,Minnesota,55,Private
Culver-Stockton College,2040,1209,Missouri,59,Private
Cumberland University,795,376,Tennessee,47,Private
CUNY Bernard M Baruch College,19863,4931,New York,25,Public
CUNY Brooklyn College,19843,6346,New York,32,Public
CUNY City College,22171,7560,New York,34,Public
CUNY Hunter College,30758,9140,New York,30,Public
CUNY John Jay College of Criminal Justice,13753,4683,New York,34,Public
CUNY Lehman College,15518,3612,New York,23,Public
CUNY Medgar Evers College,7563,6913,New York,91,Public
CUNY New York City College of Technology,16870,12957,New York,77,Public
CUNY Queens College,19032,7045,New York,37,Public
CUNY York College,13319,4675,New York,35,Public
Curry College,6780,4537,Massachusetts,67,Private
Daemen College,3061,1489,New York,49,Private
Dakota State University,781,648,South Dakota,83,Public
Dakota Wesleyan University,665,467,South Dakota,70,Private
Dallas Baptist University,2631,1113,Texas,42,Private
Dalton State College,,,Georgia,51,Public
Dartmouth College,23110,2260,New Hampshire,10,Private
Davenport University,1385,1270,Michigan,92,Private
Davidson College,4745,1215,North Carolina,26,Private
Davis & Elkins College,1022,586,West Virginia,57,Private
Defiance College,1704,1220,Ohio,72,Private
Delaware State University,8884,3703,Delaware,42,Public
Delaware Valley College,1895,1295,Pennsylvania,68,Private
Delta State University,472,422,Mississippi,89,Public
Denison University,4770,2193,Ohio,46,Private
DePaul University,19957,11948,Illinois,60,Private
DePauw University,5086,3113,Indiana,61,Private
DeSales University,2624,1989,Pennsylvania,76,Private
Dickinson College,5826,2589,Pennsylvania,44,Private
Dickinson State University,417,203,North Dakota,49,Public
Dillard University,4726,1675,Louisiana,35,Private
Dixie State University,,,Utah,100,Public
Doane College-Crete,1822,1307,Nebraska,72,Private
Dominican College of Blauvelt,1594,1146,New York,72,Private
Dominican University,3502,2100,Illinois,60,Private
Dominican University of California,2322,1800,California,78,Private
Donnelly College,,,Kansas,95,Private
Dordt College,1355,1022,Iowa,75,Private
Dowling College,2675,2094,New York,78,Private
Drake University,5930,3911,Iowa,66,Private
Drew University,3430,2656,New Jersey,77,Private
Drexel University,43945,35815,Pennsylvania,81,Private
Drury University,1076,871,Missouri,81,Private
Duke University,30374,4077,North Carolina,13,Private
Duquesne University,6793,5033,Pennsylvania,74,Private
D'Youville College,1171,926,New York,79,Private
Earlham College,1890,1204,Indiana,64,Private
East Carolina University,15535,9658,North Carolina,62,Public
East Central University,968,950,Oklahoma,98,Public
East Stroudsburg University of Pennsylvania,5621,4409,Pennsylvania,78,Public
East Tennessee State University,4721,4083,Tennessee,86,Public
East Texas Baptist University,709,522,Texas,74,Private
Eastern Connecticut State University,5112,3299,Connecticut,65,Public
Eastern Illinois University,7881,4879,Illinois,62,Public
Eastern Kentucky University,9932,5961,Kentucky,60,Public
Eastern Mennonite University,1073,698,Virginia,65,Private
Eastern Michigan University,11929,7632,Michigan,64,Public
Eastern Nazarene College,941,525,Massachusetts,56,Private
Eastern New Mexico University-Main Campus,2245,1419,New Mexico,63,Public
Eastern Oregon University,1503,1007,Oregon,67,Public
Eastern University,1821,1167,Pennsylvania,64,Private
Eastern Washington University,5204,4146,Washington,80,Public
East-West University,,,Illinois,82,Private
Eckerd College,3912,2779,Florida,71,Private
Edgewood College,1297,993,Wisconsin,77,Private
Edinboro University of Pennsylvania,3187,2784,Pennsylvania,87,Public
Edward Waters College,1907,521,Florida,27,Private
Elizabeth City State University,3925,2243,North Carolina,57,Public
Elizabethtown College,3815,2654,Pennsylvania,70,Private
Elmhurst College,2702,1940,Illinois,72,Private
Elmira College,2324,1854,New York,80,Private
Elon University,9949,5370,North Carolina,54,Private
Embry-Riddle Aeronautical University-Daytona Beach,4074,3017,Florida,74,Private
Embry-Riddle Aeronautical University-Prescott,1689,1334,Arizona,79,Private
Emerson College,8198,3933,Massachusetts,48,Private
Emmanuel College,876,419,Georgia,48,Private
Emmanuel College,6623,4006,Massachusetts,60,Private
Emory & Henry College,1663,1093,Virginia,66,Private
Emory University,17475,4602,Georgia,26,Private
Emporia State University,2452,1488,Kansas,61,Public
Endicott College,3675,2633,Massachusetts,72,Private
Erskine College,750,523,South Carolina,70,Private
Eureka College,960,651,Illinois,68,Private
Evangel University,1379,886,Missouri,64,Private
Everglades University,67,61,Florida,91,Private
Fairfield University,9254,6585,Connecticut,71,Private
Fairleigh Dickinson University-College at Florham,3647,2835,New Jersey,78,Private
Fairleigh Dickinson University-Metropolitan Campus,5193,3812,New Jersey,73,Private
Fairmont State University,2799,1861,West Virginia,66,Public
Farmingdale State College,5401,2843,New York,53,Public
Fashion Institute of Technology,4449,1995,New York,45,Public
Faulkner University,,,Alabama,58,Private
Fayetteville State University,4010,2204,North Carolina,55,Public
Felician College,1567,1382,New Jersey,88,Private
Ferris State University,10718,8135,Michigan,76,Public
Ferrum College,3272,2425,Virginia,74,Private
Finlandia University,872,513,Michigan,59,Private
Fisher College,2412,1513,Massachusetts,63,Private
Fisk University,3334,1323,Tennessee,40,Private
Fitchburg State University,3528,2544,Massachusetts,72,Public
Flagler College-St Augustine,5396,2691,Florida,50,Private
Florida Agricultural and Mechanical University,5029,2263,Florida,45,Public
Florida Atlantic University,24889,11880,Florida,48,Public
Florida College,383,225,Florida,59,Private
Florida Gulf Coast University,10804,7108,Florida,66,Public
Florida Institute of Technology,7820,4727,Florida,60,Private
Florida International University,16549,7122,Florida,43,Public
Florida Memorial University,4960,2063,Florida,42,Private
Florida Southern College,4963,2476,Florida,50,Private
Florida State University,29579,16803,Florida,57,Public
Fontbonne University,676,441,Missouri,65,Private
Fordham University,36189,17055,New York,47,Private
Fort Hays State University,2511,2239,Kansas,89,Public
Fort Lewis College,2560,2240,Colorado,88,Public
Fort Valley State University,4076,1334,Georgia,33,Public
Framingham State University,5433,2807,Massachusetts,52,Public
Francis Marion University,3951,2239,South Carolina,57,Public
Franciscan University of Steubenville,1889,1437,Ohio,76,Private
Franklin and Marshall College,5174,2034,Pennsylvania,39,Private
Franklin College,2221,1333,Indiana,60,Private
Franklin Pierce University,3546,3004,New Hampshire,85,Private
Freed-Hardeman University,1042,959,Tennessee,92,Private
Fresno Pacific University,705,553,California,78,Private
Friends University,737,432,Kansas,59,Private
Frostburg State University,3872,2302,Maryland,59,Public
Furman University,5953,3808,South Carolina,64,Private
Gallaudet University,520,341,District of Columbia,66,Private
Gannon University,3983,3203,Pennsylvania,80,Private
Gardner-Webb University,5481,2640,North Carolina,48,Private
Geneva College,1670,1136,Pennsylvania,68,Private
George Fox University,2431,1830,Oregon,75,Private
George Mason University,20805,12905,Virginia,62,Public
George Washington University,21756,7197,District of Columbia,33,Private
Georgetown College,1735,1426,Kentucky,82,Private
Georgetown University,20115,3413,District of Columbia,17,Private
Georgia College and State University,4051,2754,Georgia,68,Public
Georgia Gwinnett College,,,Georgia,96,Public
Georgia Institute of Technology-Main Campus,14645,8045,Georgia,55,Public
Georgia Southern University,10525,5473,Georgia,52,Public
Georgia Southwestern State University,1245,847,Georgia,68,Public
Georgia State University,13890,7592,Georgia,55,Public
Georgian Court University,1276,994,New Jersey,78,Private
Gettysburg College,5453,2270,Pennsylvania,42,Private
Glenville State College,1198,892,West Virginia,74,Public
Goddard College,4,4,Vermont,100,Private
Golden Gate University-San Francisco,0,0,California,93,Private
Gonzaga University,6991,4650,Washington,67,Private
Gordon College,4009,1657,Massachusetts,41,Private
Goshen College,770,424,Indiana,55,Private
Goucher College,3615,2593,Maryland,72,Private
Grace Bible College,346,259,Michigan,75,Private
Grace College and Theological Seminary,3450,2720,Indiana,79,Private
Grace University,260,152,Nebraska,58,Private
Graceland University-Lamoni,1981,994,Iowa,50,Private
Grambling State University,4545,1983,Louisiana,44,Public
Grand Valley State University,18122,14969,Michigan,83,Public
Grand View University,807,770,Iowa,95,Private
Granite State College,,,New Hampshire,91,Public
Gratz College,,,Pennsylvania,92,Private
Great Basin College,,,Nevada,95,Public
Green Mountain College,773,584,Vermont,76,Private
Greensboro College,1314,1029,North Carolina,78,Private
Greenville College,1723,1132,Illinois,66,Private
Grinnell College,3979,1395,Iowa,35,Private
Guilford College,3030,2066,North Carolina,68,Private
Gustavus Adolphus College,4804,3037,Minnesota,63,Private
Gwynedd Mercy University,1232,812,Pennsylvania,66,Private
Hamilton College,5017,1364,New York,27,Private
Hamline University,3427,2247,Minnesota,66,Private
Hampden-Sydney College,2623,1439,Virginia,55,Private
Hampshire College,2856,1819,Massachusetts,64,Private
Hampton University,15337,5529,Virginia,36,Private
Hannibal-LaGrange University,703,479,Missouri,68,Private
Hanover College,3174,2118,Indiana,67,Private
Harding University,2180,1663,Arkansas,76,Private
Hardin-Simmons University,2091,786,Texas,38,Private
Harrisburg University of Science and Technology,,,Pennsylvania,48,Private
Harris-Stowe State University,,,Missouri,93,Public
Hartwick College,5392,4542,New York,84,Private
Harvard University,35023,2047,Massachusetts,6,Private
Harvey Mudd College,3539,643,California,18,Private
Hastings College,1529,1126,Nebraska,74,Private
Haverford College,3585,842,Pennsylvania,23,Private
Hawaii Pacific University,4207,2697,Hawaii,64,Private
Heidelberg University,,,Ohio,61,Private
Henderson State University,3350,2084,Arkansas,62,Public
Hendrix College,1928,1550,Arkansas,80,Private
Heritage University,,,Washington,89,Private
Hilbert College,865,703,New York,81,Private
Hiram College,2542,1458,Ohio,57,Private
Hobart William Smith Colleges,4385,2168,New York,49,Private
Hodges University,221,183,Florida,83,Private
Hofstra University,22733,13346,New York,59,Private
Hollins University,824,571,Virginia,69,Private
Holy Cross College,715,517,Indiana,72,Private
Holy Family University,1350,1024,Pennsylvania,76,Private
Holy Names University,561,318,California,57,Private
Hood College,1686,1366,Maryland,81,Private
Hope College,4161,3018,Michigan,73,Private
Hope International University,408,191,California,47,Private
Houghton College,807,735,New York,91,Private
Houston Baptist University,5872,4297,Texas,73,Private
Howard Payne University,1585,853,Texas,54,Private
Howard University,11687,5762,District of Columbia,49,Private
Humboldt State University,9978,8000,California,80,Public
Humphreys College-Stockton and Modesto Campuses,,,California,91,Private
Huntingdon College,1470,923,Alabama,63,Private
Huntington University,784,763,Indiana,97,Private
Husson University,1581,1263,Maine,80,Private
Huston-Tillotson University,1778,816,Texas,46,Private
Idaho State University,,,Idaho,92,Public
Illinois College,2560,1569,Illinois,61,Private
Illinois Institute of Technology,2840,1618,Illinois,57,Private
Illinois State University,15354,10582,Illinois,69,Public
Illinois Wesleyan University,3556,2076,Illinois,58,Private
Immaculata University,1650,1314,Pennsylvania,80,Private
Indiana State University,11019,9152,Indiana,83,Public
Indiana University of Pennsylvania-Main Campus,9367,8476,Pennsylvania,90,Public
Indiana University-Bloomington,37826,27300,Indiana,72,Public
Indiana University-East,1219,656,Indiana,54,Public
Indiana University-Kokomo,1066,784,Indiana,74,Public
Indiana University-Northwest,1773,1352,Indiana,76,Public
Indiana University-Purdue University-Fort Wayne,3702,3076,Indiana,83,Public
Indiana University-Purdue University-Indianapolis,12230,8510,Indiana,70,Public
Indiana University-South Bend,2456,1720,Indiana,70,Public
Indiana University-Southeast,2097,1666,Indiana,79,Public
Indiana Wesleyan University,3441,3274,Indiana,95,Private
Iona College,5911,5445,New York,92,Private
Iowa State University,16539,13648,Iowa,83,Public
Iowa Wesleyan College,1319,793,Iowa,60,Private
Ithaca College,15658,10429,New York,67,Private
Jackson State University,5325,3442,Mississippi,65,Public
Jacksonville State University,3083,2567,Alabama,83,Public
Jacksonville University,3498,1657,Florida,47,Private
James Madison University,22648,14394,Virginia,64,Public
Jarvis Christian College,,,Texas,84,Private
John Brown University,1143,798,Arkansas,70,Private
John Carroll University,3721,3101,Ohio,83,Private
Johns Hopkins University,21336,3869,Maryland,18,Private
Johnson & Wales University-Charlotte,4543,2708,North Carolina,60,Private
Johnson & Wales University-Denver,1998,1568,Colorado,78,Private
Johnson & Wales University-North Miami,5029,3267,Florida,65,Private
Johnson & Wales University-Providence,12364,9399,Rhode Island,76,Private
Johnson C Smith University,4777,1752,North Carolina,37,Private
Johnson State College,864,837,Vermont,97,Public
Jones College-Jacksonville,,,Florida,90,Private
Judson College,268,198,Alabama,74,Private
Judson University,737,521,Illinois,71,Private
Juniata College,2227,1650,Pennsylvania,74,Private
Kalamazoo College,2528,1691,Michigan,67,Private
Kansas State University,9839,9437,Kansas,96,Public
Kansas Wesleyan University,689,370,Kansas,54,Private
Kean University,4952,3980,New Jersey,80,Public
Keene State College,6144,5029,New Hampshire,82,Public
Keiser University-Ft Lauderdale,4620,4311,Florida,93,Private
Kennesaw State University,9471,5355,Georgia,57,Public
Kent State University at Kent,15970,13259,Ohio,83,Public
Kent State University at Salem,,,Ohio,91,Public
Kentucky Christian University,590,303,Kentucky,51,Private
Kentucky State University,6399,2415,Kentucky,38,Public
Kentucky Wesleyan College,1006,675,Kentucky,67,Private
Kenyon College,4054,1556,Ohio,38,Private
Kettering University,2140,1318,Michigan,62,Private
Keuka College,1375,1207,New York,88,Private
Keystone College,1120,807,Pennsylvania,72,Private
King University,933,595,Tennessee,64,Private
King's College,2780,1988,Pennsylvania,72,Private
Knox College,2660,1994,Illinois,75,Private
Kutztown University of Pennsylvania,7785,6367,Pennsylvania,82,Public
Kuyper College,152,104,Michigan,68,Private
La Roche College,1488,828,Pennsylvania,56,Private
La Salle University,5547,4449,Pennsylvania,80,Private
La Sierra University,3479,1627,California,47,Private
Lafayette College,6766,2310,Pennsylvania,34,Private
LaGrange College,1648,962,Georgia,58,Private
Lake Erie College,1158,644,Ohio,56,Private
Lake Forest College,3684,2110,Illinois,57,Private
Lake Superior State University,1481,1360,Michigan,92,Public
Lakeland College,885,586,Wisconsin,66,Private
Lamar University,4788,3678,Texas,77,Public
Lander University,3349,1412,South Carolina,42,Public
Lane College,4589,2256,Tennessee,49,Private
Langston University,,,Oklahoma,92,Public
Lasell College,3584,2729,Massachusetts,76,Private
Lawrence Technological University,1819,794,Michigan,44,Private
Lawrence University,2710,1970,Wisconsin,73,Private
Le Moyne College,5924,3667,New York,62,Private
Le Moyne-Owen College,1242,290,Tennessee,23,Private
Lebanon Valley College,3793,2536,Pennsylvania,67,Private
