Name,lon,lat,Controlofinstitution,Website,Acceptance_Rate,State_name,Highest_degree_offered,,Total_Matriculates
Berea College,-84.289332,37.573334,Private,https://www.berea.edu/,34,Kentucky,Bachelor's degree,,397
Berry College,-85.189077,34.289254,Private,http://www.berry.edu/,60,Georgia,Master's degree,,672
Bethany College,-97.673173,38.5786,Private,http://www.bethanywv.edu/,59,Kansas,Bachelor's degree,,184
Bethany College,-80.56916,40.204594,Private,http://www.bethanywv.edu/,49,West Virginia,Master's degree,,185
Bethany Lutheran College,-93.990744,44.166485,Private,https://www.blc.edu/,75,Minnesota,Bachelor's degree,,147
Bethel College-Indiana,-86.191642,41.677671,Private,http://www.bethelcollege.edu/,72,Indiana,Master's degree,,250
Bethel College-North Newton,-97.342572,38.07525,Private,https://www.bethelks.edu/,64,Kansas,Bachelor's degree,,123
Bethel University,-93.159295,45.057091,Private,https://www.bethel.edu/,95,Minnesota,Doctor's degree,,612
Bethel University,-88.516162,36.139271,Private,https://www.bethel.edu/,51,Tennessee,Master's degree,,637
Bethune-Cookman University,-81.031429,29.210193,Private,http://www.cookman.edu/,67,Florida,Master's degree,,1022
Biola University,-118.017342,33.904823,Private,https://www.biola.edu/,73,California,Doctor's degree,,903
Birmingham Southern College,-86.853636,33.515453,Private,http://www.bsc.edu/,64,Alabama,Bachelor's degree,,356
Black Hills State University,-103.870009,44.495536,Public,http://www.bhsu.edu/,89,South Dakota,Master's degree,,619
Blackburn College,-89.872248,39.288298,Private,https://blackburn.edu/,68,Illinois,Bachelor's degree,,116
Bloomfield College,-74.19593,40.794218,Private,http://www.bloomfield.edu/,55,New Jersey,Master's degree,,382
Bloomsburg University of Pennsylvania,-76.446383,41.007989,Public,http://www.bloomu.edu/,89,Pennsylvania,Doctor's degree,,2218
Blue Mountain College,-89.02924,34.67209,Private,https://www.bmc.edu/,56,Mississippi,Master's degree,,83
Bluefield College,-81.244879,37.245681,Private,http://www.bluefield.edu/,57,Virginia,Master's degree,,118
Bluefield State College,-81.235428,37.26688,Public,http://bluefieldstate.edu/,43,West Virginia,Bachelor's degree,,306
Bluffton University,-83.897678,40.896998,Private,http://www.bluffton.edu/,53,Ohio,Master's degree,,250
Boise State University,-116.205789,43.604403,Public,https://www.boisestate.edu/,78,Idaho,Doctor's degree,,2205
Boricua College,-73.9458,40.833434,Private,http://www.boricuacollege.edu/,100,New York,Master's degree,,910
Boston College,-71.171488,42.337688,Private,http://www.bc.edu/,32,Massachusetts,Doctor's degree,,2215
Boston University,-71.09984,42.349581,Private,http://www.bu.edu/,46,Massachusetts,Doctor's degree,,3877
Bowdoin College,-69.965165,43.906969,Private,http://www.bowdoin.edu/,15,Maine,Bachelor's degree,,497
Bowie State University,-76.759721,39.018185,Public,https://www.bowiestate.edu/,52,Maryland,Doctor's degree,,627
Bowling Green State University-Main Campus,-83.637531,41.377036,Public,https://www.bgsu.edu/,72,Ohio,Doctor's degree,,3348
Bradley University,-89.61462,40.697605,Private,http://www.bradley.edu/,67,Illinois,Doctor's degree,,1085
Brandeis University,-71.254716,42.364947,Private,http://www.brandeis.edu/,37,Massachusetts,Doctor's degree,,833
Brenau University,-83.821513,34.303117,Private,https://www.brenau.edu/,78,Georgia,Doctor's degree,,206
Brescia University,-87.111533,37.768989,Private,https://www.brescia.edu/,45,Kentucky,Master's degree,,150
Brevard College,-82.729763,35.237657,Private,https://www.brevard.edu/,45,North Carolina,Bachelor's degree,,245
Brewton-Parker College,-82.586136,32.185718,Private,http://www.bpc.edu/,51,Georgia,Bachelor's degree,,150
Briar Cliff University,-96.42696,42.526919,Private,http://www.briarcliff.edu/,58,Iowa,Doctor's degree,,293
Bridgewater College,-78.969011,38.378391,Private,https://www.bridgewater.edu/,55,Virginia,Bachelor's degree,,536
Bridgewater State University,-70.966058,41.987785,Public,http://www.bridgew.edu/,79,Massachusetts,Master's degree,,1476
Brigham Young University-Hawaii,-157.925358,21.641172,Private,https://byuh.edu/,36,Hawaii,Bachelor's degree,,516
